"contractCode","contractSequence","subPrice"
"1430P20573S",1,0
"1253P10421S",1,0
"7778P30001S",1,0
"7856P20089S",1,0
"1437P20604S",1,0
"1437P20769S",1,0
"1430P10767S",1,0
"1206P12533S",1,2
"1321P20230S",1,0
"1202P20983S",1,0
"7778P10817S",1,0
"7644P20106S",1,0
"7644P11355S",1,0
"7566P10189S",1,0
"1310P20791S",1,0
"1202P11950S",1,2
"7876P20070S",1,0
"7859P10173S",1,0
"7644P11571S",1,1
"1371P10489S",1,0
"7644P11334S",1,0
"1201P20640S",1,0
"7644P10824S",1,0
"1311P10527S",1,1
"1361P10563S",1,0
"7853P20041S",1,0
"7870P20083S",1,0
"1432P20299S",1,1
"7838P20073S",1,0
"7566P20043S",1,0
"7644P20185S",1,0
"1430P20509S",1,0
"1323P10736S",1,0
"1306P20719S",1,0
"1204P11138S",1,0
"1328P10760S",1,0
"1437P11591S",1,0
"7759P10842S",1,0
"1327P10498S",1,0
"1393P20102S",1,0
"7644P11328S",1,0
"7566P20034S",1,0
"1201P11381S",1,0
"7862P20048S",1,1
"1310P11448S",1,0
"7853P20255S",1,0
"1311P10527S",1,1
"7853P20206S",1,0
"7566P10195S",1,0
"7529P20116S",1,0
"7566P10360S",1,0
"7529P10733S",1,1
"7855P20023S",1,0
"1204P11155S",1,0
"7644W10034S",1,0
"7529P10613S",1,0
"1374P20093S",1,0
"1437P20460S",1,0
"1338P20178S",1,0
"1250P10620S",1,0
"7644P11609S",1,0
"1206P21618S",1,1
"1250W10111S",1,0
"1206P12441S",1,0
"1306P20687S",1,0
"7862P10166S",1,0
"1327P20273S",1,0
"1326P10647S",1,0
"1343P11469S",1,0
"7759P20151S",1,0
"7778P20214S",1,0
"1314P12378S",1,0
"1314P12483S",1,0
"1321P10359S",1,0
"1437P20758S",1,0
"1251P20062S",1,2
"7644P11585S",1,0
"1206P12672S",1,2
"7650P10344S",1,0
"1361P20336S",1,0
"1250P10788S",1,0
"1306P20628S",1,0
"1370P10362S",1,0
"1361P10627S",1,0
"7853P20123S",1,0
"1393P10887S",1,0
"1310P20913S",1,0
"1314P12116S",1,1
"1310P11531S",1,0
"1327P10509S",1,0
"1314P12344S",1,0
"1371P20340S",1,0
"1437P20788S",1,0
"7644P10827S",1,1
"1253P10373S",1,0
"1253P10605S",1,0
"1314P12291S",1,1
"1310P11299S",1,0
"1314P12458S",1,0
"7862P10169S",1,0
"1250P10673S",1,0
"1204P11163S",1,0
"7566P10252S",1,0
"1323P10660S",1,0
"1314P12501S",1,0
"1312P20432S",1,1
"1363P30164S",1,0
"7759P10789S",1,0
"1434P20275S",1,0
"7859P20105S",1,1
"1314P12135S",1,0
"1331P20740S",1,0
"1204P11257S",1,0
"1306P11036S",1,0
"1306P20849S",1,0
"7644P11162S",1,1
"7759P10689S",1,0
"1250P20786S",1,0
"1310P11336S",1,0
"1314P12334S",1,0
"1434P20274S",1,0
"7856P20732S",1,0
"7759P20148S",1,0
"7855P10612S",1,0
"1206P12635S",1,0
"7644P11523S",1,0
"1393P20095S",1,0
"7529P10731S",1,0
"1393P10678S",1,0
"1360P20387S",1,0
"7644P20063S",1,1
"1314P12253S",1,0
"1326P20314S",1,0
"7856W10109S",1,0
"1206P12672S",1,2
"1314P12460S",1,1
"1361P20292S",1,0
"1314P12655S",1,0
"1343P20566S",1,0
"1309P20133S",1,0
"7838P10237S",1,0
"1334P20238S",1,0
"1326P20419S",1,0
"7650W10014S",1,0
"1328P10812S",1,0
"1306P11033S",1,1
"7853P20400S",1,0
"1334P10479S",1,0
"1437P20556S",1,1
"1371P10720S",1,0
"7856P20085S",1,0
"1204P11220S",1,0
"1437P20704S",1,0
"1338P20154S",1,0
"1437P20786S",1,1
"1328P10789S",1,2
"1312P20388S",1,0
"7838P20086S",1,0
"1437W10100S",2,0
"7759P10826S",1,0
"7566P20036S",1,0
"1314P12397S",1,0
"1314P12186S",1,1
"1437P20401S",1,0
"1251P10058S",1,0
"1338W10039S",2,0
"1202P11961S",2,0
"7862P10177S",1,0
"7644P20134S",1,0
"7876P30007S",1,0
"1437P11474S",1,1
"7860P20010S",1,0
"1371P10773S",1,0
"7856P20320S",1,1
"1343P20513S",1,0
"1323P30807S",1,0
"7644P10820S",,
"1204P11129S",1,0
"7876P20076S",1,0
"1331P10781S",1,0
"7644P11311S",1,0
"7759P20199S",1,0
"7644P11271S",1,0
"1252P10040S",1,0
"1206P12634S",1,0
"7856P20698S",1,0
"7778P10980S",1,0
"7855P10559S",1,0
"7566P20072S",1,0
"7759P10723S",1,0
"1202P21229S",1,0
"7529W10022S",1,0
"7778P10958S",1,1
"1326P10638S",1,0
"1437P20521S",1,0
"7856P20624S",1,0
"1204P11149S",1,0
"7566P20099S",1,0
"7855P10572S",1,0
"7529P10765S",1,0
